feature,class,n,mean,median,std,max,p99,p95,skewness,kurtosis,max_over_med,zero_frac
delta_mean_s,sock,140,49746.91983856692,166.625,132854.91085326846,865422.0,799443.4899999985,230539.4238095237,4.462946339761776,22.040709871390714,118.02603944102484,0.32857142857142857
delta_mean_s,non-sock,140,107094.18361341616,33154.11609403255,174985.0935139789,818824.3333333334,782277.4333333325,535328.3499999999,2.4133619448571153,5.591968578773113,14.04413101520202,0.20714285714285716
delta_std_s,sock,140,54007.8977572359,38.2957228949998,125593.8529654734,837359.5,628431.419999996,256596.37331273686,3.643084896593542,16.12816399528407,24.040680843066628,0.4642857142857143
delta_std_s,non-sock,140,96319.8161591629,50235.601109328985,131641.57659691284,687374.009774184,593745.3417082587,363204.1002716299,2.0881243765661384,4.855031669036351,7.548001167082844,0.29285714285714287
delta_min_s,sock,140,8138.964285714285,34.5,74357.68933361526,865422.0,132497.96999999858,1510.1999999999957,11.023585293971621,123.36620797855363,10121.894736842105,0.32857142857142857
delta_min_s,non-sock,140,36200.0,69.0,119588.70333874707,695165.0,571796.0699999993,287699.49999999895,3.8283893329901058,14.162221991747636,4895.528169014085,0.20714285714285716
