user_id,label,emoji_mean,emoji_max,emoji_std,emoji_sum,length_mean,length_max,length_std,length_sum,repetition_mean,repetition_max,repetition_std,repetition_sum,punctuation_mean,punctuation_max,punctuation_std,punctuation_sum,caps_mean,caps_max,caps_std,caps_sum,n_comments,total_chars,particles_count,pronouns_count,verbs_count,total_markers,particles_per_comment,pronouns_per_comment,verbs_per_comment,markers_per_comment,markers_per_1k_chars,has_any_marker
6498440,1,0.0,0.0,0.0,0.0,0.0666666666666666,0.4,0.1490711984999859,0.4,0.0499999999999999,0.3,0.1118033988749894,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,937,9,0,0,9,1.5,0.0,0.0,1.5,9.6051227321238,1
6598944,1,0.0375,0.2,0.0780624749799799,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.3,0.0992156741649221,1.2,0.0,0.0,0.0,0.0,32,9847,76,11,2,89,2.375,0.34375,0.0625,2.78125,9.038285772316442,1
6627265,0,0.0,0.0,0.0,0.0,0.0065934065934065,0.3,0.0439835079037131,0.6,0.0,0.0,0.0,0.0,0.0065934065934065,0.3,0.0439835079037131,0.6,0.0,0.0,0.0,0.0,91,21214,109,4,1,114,1.1978021978021978,0.04395604395604396,0.01098901098901099,1.2527472527472527,5.373809748279438,1
6800009,0,0.0,0.0,0.0,0.0,0.0755555555555555,0.4,0.1565681329227425,6.8,0.0033333333333333,0.3,0.031446603773522,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,9115,127,19,4,150,1.4111111111111112,0.2111111111111111,0.044444444444444446,1.6666666666666667,16.456390565002742,1
6844095,1,0.0007843137254901,0.2,0.0124999038827523,0.2,0.0176470588235294,0.4,0.073846375654001,4.5,0.0541176470588235,0.3,0.1153541260400496,13.799999999999995,0.0129411764705882,0.6,0.0664888054162107,3.3,0.0,0.0,0.0,0.0,255,51927,101,20,16,137,0.396078431372549,0.0784313725490196,0.06274509803921569,0.5372549019607843,2.6383191788472278,1
6886521,1,0.0444444444444444,0.2,0.0831479419283098,0.8,0.0333333333333333,0.3,0.0942809041582063,0.6,0.0166666666666666,0.3,0.0687184270936276,0.3,0.0166666666666666,0.3,0.0687184270936276,0.3,0.0,0.0,0.0,0.0,18,12804,120,2,1,123,6.666666666666667,0.1111111111111111,0.05555555555555555,6.833333333333333,9.606373008434863,1
7049956,0,0.0,0.0,0.0,0.0,0.1098591549295774,0.3,0.1445292792379189,7.8,0.004225352112676,0.3,0.0353518321070736,0.3,0.0084507042253521,0.3,0.0496366484132566,0.6,0.0,0.0,0.0,0.0,71,45240,49,57,2,108,0.6901408450704225,0.8028169014084507,0.028169014084507043,1.5211267605633803,2.3872679045092835,1
7172694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249999999999999,0.3,0.0829156197588849,0.6,0.0124999999999999,0.3,0.0599478940414089,0.3,0.0,0.0,0.0,0.0,24,6616,66,4,0,70,2.75,0.16666666666666666,0.0,2.9166666666666665,10.580411124546552,1
7242702,1,0.008,0.2,0.0391918358845308,0.2,0.08,0.4,0.16,2.0,0.0,0.0,0.0,0.0,0.1559999999999999,0.6,0.2099142682144308,3.9,0.0,0.0,0.0,0.0,25,2802,10,0,0,10,0.4,0.0,0.0,0.4,3.5688793718772303,1
7246658,0,0.00625,0.2,0.0347985272676876,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,7752,52,17,0,69,1.625,0.53125,0.0,2.15625,8.90092879256966,1
