experiment,config,n_features,classifier,recall,precision,f1
1,drop_coord-dim,58,NB,0.6288659793814433,0.6039603960396039,0.6161616161616161
1,drop_coord-dim,58,RF,0.16494845360824742,0.5925925925925926,0.25806451612903225
1,drop_coord-dim,58,SVM,0.16494845360824742,0.47058823529411764,0.24427480916030533
1,drop_coord-dim,58,DNN,0.5257731958762887,0.6,0.5604395604395604
1,drop_coord-dim,58,DT,0.16494845360824742,0.5,0.24806201550387597
1,drop_algo-dim,58,NB,0.6701030927835051,0.5909090909090909,0.6280193236714976
1,drop_algo-dim,58,RF,0.13402061855670103,0.5416666666666666,0.21487603305785125
1,drop_algo-dim,58,SVM,0.16494845360824742,0.47058823529411764,0.24427480916030533
1,drop_algo-dim,58,DNN,0.5360824742268041,0.611764705882353,0.5714285714285714
1,drop_algo-dim,58,DT,0.16494845360824742,0.5,0.24806201550387597
1,drop_composite,58,NB,0.7010309278350515,0.6017699115044248,0.6476190476190476
1,drop_composite,58,RF,0.16494845360824742,0.5517241379310345,0.25396825396825395
1,drop_composite,58,SVM,0.17525773195876287,0.4146341463414634,0.2463768115942029
1,drop_composite,58,DNN,0.5257731958762887,0.6296296296296297,0.5730337078651685
1,drop_composite,58,DT,0.17525773195876287,0.40476190476190477,0.2446043165467626
1,drop_engagement,55,NB,0.21649484536082475,0.5121951219512195,0.30434782608695654
1,drop_engagement,55,RF,0.1958762886597938,0.5588235294117647,0.2900763358778626
1,drop_engagement,55,SVM,0.16494845360824742,0.41025641025641024,0.23529411764705882
1,drop_engagement,55,DNN,0.5876288659793815,0.6333333333333333,0.6096256684491979
1,drop_engagement,55,DT,0.1958762886597938,0.5277777777777778,0.2857142857142857
1,drop_temporal,59,NB,0.7525773195876289,0.5488721804511278,0.6347826086956522
1,drop_temporal,59,RF,0.18556701030927836,0.5,0.2706766917293233
1,drop_temporal,59,SVM,0.6288659793814433,0.580952380952381,0.6039603960396039
1,drop_temporal,59,DNN,0.6288659793814433,0.5754716981132075,0.6009852216748769
1,drop_temporal,59,DT,0.21649484536082475,0.4666666666666667,0.29577464788732394
1,drop_coord_all,40,NB,0.16494845360824742,0.48484848484848486,0.24615384615384617
1,drop_coord_all,40,RF,0.7525773195876289,0.5488721804511278,0.6347826086956522
1,drop_coord_all,40,SVM,0.8041237113402062,0.5492957746478874,0.6527196652719666
1,drop_coord_all,40,DNN,0.6597938144329897,0.5714285714285714,0.6124401913875598
