user_id,n_posts,n_threads,days_active,posts_per_thread,posts_per_day,hour_entropy_bits,dayofweek_entropy_bits,interpost_mean_sec,interpost_median_sec,interpost_min_sec,interpost_std_sec,burstiness,frac_posts_night,msg_len_mean,msg_len_std,msg_len_min,msg_len_max,msg_len_median,msg_char_ent_mean,msg_char_ent_std,num0_mean,num0_sum,num1_mean,num1_sum,reacts_mean,reacts_sum,reacts_per_post,n_unique_tags,tag_entropy_bits,total_tag_uses,thread_entropy_bits,max_posts_in_thread,mean_posts_per_thread,frac_threads_with_one_post,en_score
1022647,7,7,3.908923611111111,1.0,1.7907743144692077,1.3787834934861751,1.3787834934861751,56288.5,222.5,105.0,89249.10392967539,0.2264748287707288,0.0,37.57142857142857,15.83095220190648,17,62,39.0,4.246538147574886,0.4564959440673984,11.0,77,0.0,0,0.2857142857142857,2,0.2857142857142857,8,2.735970393142132,22,2.807354922057604,1,1.0,1.0,1.0
2027218,10,4,6.531712962962963,2.5,1.5309919552043094,2.1709505944546685,1.6854752972273346,62704.444444444445,1556.0,118.0,97699.45225720576,0.2181680653173389,0.7,131.9,65.27965481934883,34,210,122.5,4.802861630282026,0.2626286069291998,5.6,56,0.3,3,0.6,6,0.6,6,1.6922718656836109,15,1.570950594454669,6,2.5,0.5,1.0
2206822,12,8,18.99565972222222,1.5,0.6317232554951332,2.221251836004466,2.125814583693911,149202.27272727274,168722.0,599.0,129944.93836033429,-0.0689863040075108,0.8333333333333334,112.41666666666669,112.41437819177058,4,418,81.5,4.500056650443727,0.8588547233892388,10.25,123,0.5833333333333334,7,0.25,3,0.25,4,1.5099686126368168,21,2.751629167387823,4,1.5,0.75,1.0
2412813,1,1,0.0,1.0,24.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,74,74,74.0,4.611631325662365,0.0,4.0,4,0.0,0,3.0,3,3.0,1,-0.0,1,-0.0,1,1.0,1.0,1.0
2535569,1,1,0.0,1.0,24.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,155,155,155.0,5.16424434288366,0.0,0.0,0,0.0,0,1.0,1,1.0,2,1.0,2,-0.0,1,1.0,1.0,1.0
2566480,7,7,9.968356481481482,1.0,0.7022220777320827,2.1280852788913944,1.8423709931771084,143544.33333333334,39305.5,156.0,247901.482328274,0.2665941103970163,0.0,104.71428571428572,52.12393655418556,37,192,88.0,4.82407810180713,0.2075299226216618,7.714285714285714,54,0.0,0,1.5714285714285714,11,1.5714285714285714,10,2.8978493842644677,19,2.807354922057604,1,1.0,1.0,1.0
2624554,10,10,6.812164351851852,1.0,1.467962233953083,2.5219280948873624,1.8464393446710157,65396.77777777778,19520.0,76.0,73710.71136511042,0.0597662544163437,0.0,85.3,43.982445993322784,27,166,77.5,4.67068451324702,0.2916603884889987,7.0,70,0.0,0,0.4,4,0.4,15,3.3744183139072823,30,3.321928094887362,1,1.0,1.0,1.0
2999960,10,4,5.036655092592593,2.5,1.985444668368695,1.8464393446710157,0.7219280948873623,48351.88888888889,1214.0,65.0,132748.50717925603,0.4660211690459813,0.0,98.7,70.26307707466276,25,258,82.0,4.772032595768359,0.3195376276053271,2.6,26,1.8,18,0.6,6,0.6,9,2.7429293647501445,33,1.7609640474436812,5,2.5,0.25,1.0
3226352,2,2,0.1306018518518518,1.0,15.31371853952499,1.0,-0.0,11284.0,11284.0,11284.0,0.0,0.0,0.0,98.5,6.363961030678928,94,103,98.5,4.871288765152817,0.0627883720032148,3.0,6,0.0,0,1.5,3,1.5,4,1.9219280948873625,5,1.0,1,1.0,1.0,1.0
1612879,1,1,0.0,1.0,24.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,269,269,269.0,4.816499378409817,0.0,0.0,0,0.0,0,0.0,0,0.0,1,-0.0,1,-0.0,1,1.0,1.0,1.0
3232726,12,7,23.479872685185185,1.7142857142857142,0.5110760250234021,2.3553885422075336,2.188721875540867,184423.7272727273,1447.0,36.0,319680.28376064927,0.2683108119109306,0.1666666666666666,67.58333333333333,37.52201374062319,18,138,66.5,4.599436711836866,0.4340488673507934,1.4166666666666667,17,0.0833333333333333,1,0.5,6,0.5,14,3.332903702254483,57,2.5220552088742005,4,1.7142857142857142,0.7142857142857143,1.0
3303742,9,8,5.046643518518518,1.125,1.7833635300323374,2.197159723424149,2.197159723424149,54503.75,35427.0,325.0,61484.47255151093,0.0601847532270852,0.0,142.44444444444446,78.92102240707338,62,294,126.0,4.90361747113363,0.2284138581696894,6.222222222222222,56,0.4444444444444444,4,1.2222222222222223,11,1.2222222222222223,12,3.037844174772454,35,2.94770277922009,2,1.125,0.875,1.0
3418910,23,7,3.722453703703704,3.2857142857142856,6.17872022884149,2.8440319350530703,1.6668127273868607,14619.09090909091,1586.5,77.0,38926.12550706448,0.4539534289871648,0.0,150.34782608695653,161.65637200152565,13,633,89.0,4.679000241647007,0.5190658181487036,6.260869565217392,144,0.782608695652174,18,1.0434782608695652,24,1.0434782608695652,6,1.091571886725058,28,2.3009786743716325,8,3.2857142857142856,0.5714285714285714,1.0
4316914,1,1,0.0,1.0,24.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,54,54,54.0,4.337677779700861,0.0,2.0,2,0.0,0,1.0,1,1.0,1,-0.0,1,-0.0,1,1.0,1.0,1.0
4559481,5,4,11.511909722222224,1.25,0.4343328014767315,1.9219280948873625,1.9219280948873625,248657.25,70916.0,155.0,349914.85641251004,0.169165260672417,0.0,48.0,53.25410782277739,10,128,14.0,3.661665054124504,1.1132898234685518,3.6,18,0.0,0,0.2,1,0.2,6,2.2221915755066783,11,1.9219280948873625,2,1.25,0.75,1.0
4711512,1,1,0.0,1.0,24.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,66,66,66.0,4.87933574072844,0.0,2.0,2,0.0,0,0.0,0,0.0,3,1.584962500721156,3,-0.0,1,1.0,1.0,1.0
4755513,2,2,0.5428703703703703,1.0,3.684120757291489,1.0,1.0,46904.0,46904.0,46904.0,0.0,0.0,0.0,24.0,21.213203435596427,9,39,24.0,3.5843758964215926,0.9003917571447203,3.5,7,0.0,0,0.0,0,0.0,5,2.2516291673878226,6,1.0,1,1.0,1.0,1.0
4774359,20,18,1.6501504629629629,1.1111111111111112,12.1201068926094,3.046439344671016,0.9709505944546686,7503.842105263157,2122.0,141.0,11258.595230046094,0.200120754978716,0.2,164.7,174.92828605790973,8,731,113.0,4.578319360776894,0.7102886765484643,4.45,89,0.2,4,1.2,24,1.2,14,3.151787037278116,61,4.121928094887362,2,1.1111111111111112,0.8888888888888888,1.0
4873473,6,5,8.008969907407407,1.2,0.7491600130062503,1.0,1.2516291673878228,138395.0,79041.0,274.0,161000.26415754727,0.0755030785846096,0.0,102.16666666666669,93.31327165342915,27,277,75.5,4.658722887648191,0.3303429336150984,4.0,24,0.1666666666666666,1,0.3333333333333333,2,0.3333333333333333,7,2.5306390622295662,16,2.2516291673878226,2,1.2,0.8,1.0
3246910,68,48,22.72240740740741,1.4166666666666667,2.992640646775495,3.5837151443601774,2.416260689106388,29301.731343283584,3128.0,35.0,61278.16340277649,0.3530190904851297,0.0441176470588235,302.9852941176471,421.0115215443,8,2524,154.0,4.802831364634296,0.391337076666548,6.088235294117647,414,0.7205882352941176,49,1.2058823529411764,82,1.2058823529411764,19,3.0200256098223504,172,5.335091378621958,7,1.4166666666666667,0.7708333333333334,1.0
1215525,4,2,0.2174305555555555,2.0,18.396678377515173,0.8112781244591328,-0.0,6262.0,653.0,249.0,8219.64991144189,0.1351814139558199,0.0,186.75,163.54892234435542,37,403,153.5,4.75006197874025,0.2730869488553253,3.0,12,0.25,1,0.75,3,0.75,3,1.5709505944546684,10,0.8112781244591328,3,2.0,0.5,1.0
1048940,1,1,0.0,1.0,24.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,147,147,147.0,4.969368503033586,0.0,3.0,3,0.0,0,0.0,0,0.0,1,-0.0,1,-0.0,1,1.0,1.0,1.0
7664485,1,1,0.0,1.0,24.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,0.0,110,110,110.0,4.9327376469943705,0.0,0.0,0,0.0,0,0.0,0,0.0,4,2.0,4,-0.0,1,1.0,1.0,1.0
238160,47,19,5.13150462962963,2.473684210526316,9.159107005110949,3.4935671188985267,1.3907952139558466,9638.304347826086,1024.0,82.0,37121.31289309919,0.5877509305448128,0.0,245.95744680851064,181.34772717037632,29,1028,225.0,5.0096148300062096,0.3225232354170863,5.659574468085107,266,1.319148936170213,62,0.5319148936170213,25,0.5319148936170213,17,3.2907876725615988,136,3.760148502153437,10,2.473684210526316,0.5263157894736842,1.0
244597,3,3,3.670671296296296,1.0,0.8172891980349744,0.9182958340544896,0.9182958340544896,158573.0,158573.0,80.0,158493.0,-0.0002523133984722,0.0,25.666666666666668,16.010413278030438,10,42,25.0,3.697155858767019,0.6177448654502379,6.333333333333333,19,0.0,0,0.0,0,0.0,4,1.7924812503605778,6,1.584962500721156,1,1.0,1.0,1.0
250442,18,15,24.604027777777777,1.2,0.731587533658107,2.174583503614888,1.9455305560363263,125046.35294117648,746.0,34.0,324364.751557825,0.4435101772548466,0.6666666666666666,95.72222222222224,92.56146165119982,7,332,72.5,4.53689168932841,0.5981283877118293,6.833333333333333,123,1.3333333333333333,24,0.9444444444444444,17,0.9444444444444444,15,3.309291665837806,66,3.794653473544342,3,1.2,0.8666666666666667,1.0
255767,5,5,2.029027777777778,1.0,2.464234376069546,0.7219280948873623,0.7219280948873623,43827.0,672.0,175.0,75033.95745594124,0.2625501100099153,0.8,66.6,40.94264280673635,23,121,65.0,4.491809693641551,0.2848984007075326,6.0,30,0.2,1,0.0,0,0.0,7,2.495602923729013,14,2.321928094887362,1,1.0,1.0,1.0
268450,5,5,8.073252314814814,1.0,0.6193290888264145,1.9219280948873625,1.3709505944546687,174382.25,118300.0,1614.0,174187.1448318948,-0.0005597312070363,0.0,95.6,84.28997567919924,31,241,67.0,4.620798636333937,0.4613949888310241,5.8,29,0.6,3,0.2,1,0.2,7,2.450825794518088,12,2.321928094887362,1,1.0,1.0,1.0
314002,1,1,0.0,1.0,24.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.0,0.0,66,66,66.0,4.805778877512176,0.0,0.0,0,0.0,0,0.0,0,0.0,3,1.584962500721156,3,-0.0,1,1.0,1.0,1.0
412088,1,1,0.0,1.0,24.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12,12,12.0,3.4182958340544896,0.0,0.0,0,0.0,0,0.0,0,0.0,1,-0.0,1,-0.0,1,1.0,1.0,1.0
