source,post_id,user_id,container_id,amp_prob_full,amp_prob_behavioral,is_sockpuppet,n_chars,n_words,n_emoji,n_punct,emoji_density,punct_density,is_short,is_long,is_emoji_heavy,max_token_repeat_ratio,has_repeated_chars,hour_of_day,day_of_week,is_late_night
tiktok,7094446713754714881,tiktok_6911212009079342081,7093346652542569755,1.0,0.2,,52,10,0,0,0.0,0.0,0,0,0,0.1,0,2,4,1
tiktok,7094399216679961345,tiktok_6801708565356479490,7094264285508963611,0.2,0.2,,18,2,2,0,1.0,0.0,0,0,0,0.0,1,23,3,0
tiktok,7094371390119805697,tiktok_61546214063681536,7094264285508963611,0.8,0.2,,34,6,0,0,0.0,0.0,0,0,0,0.0,0,21,3,0
tiktok,7094396517989466882,tiktok_6792155884900647937,7094264285508963611,0.15,0.15,,33,7,2,0,0.2857142857142857,0.0,0,0,0,0.0,0,23,3,0
tiktok,7094374962135646977,tiktok_6863305552408904706,7094264285508963611,1.0,1.0,,26,1,11,5,1.0,0.19230769230769232,0,0,1,0.0,1,21,3,0
tiktok,7094318079657018113,tiktok_6771401437340746753,7094264285508963611,0.2,0.2,,11,2,2,0,1.0,0.0,0,0,0,0.0,0,18,3,0
tiktok,7094306936048354049,tiktok_6909449568715670529,7094264285508963611,0.3,0.3,,2,1,2,0,1.0,0.0,1,0,0,0.0,0,17,3,0
tiktok,7094397489943888642,tiktok_6675958406606947330,7094264285508963611,0.2,0.2,,25,4,2,0,0.5,0.0,0,0,0,0.0,0,23,3,0
tiktok,7094308562851562241,tiktok_6869342300684092417,7094264285508963611,0.1,0.1,,41,8,0,1,0.0,0.024390243902439025,0,0,0,0.0,0,17,3,0
tiktok,7094398868238254850,tiktok_6931196143238169601,7094264285508963611,1.0,0.2,,16,3,0,4,0.0,0.25,0,0,0,0.0,0,23,3,0
tiktok,7094377211449033474,tiktok_6806824013055951874,7094264285508963611,0.15,0.15,,38,7,1,0,0.14285714285714285,0.0,0,0,0,0.0,0,22,3,0
tiktok,7094361188955374338,tiktok_6546065318753468417,7094264285508963611,0.2,0.2,,18,4,2,0,0.5,0.0,0,0,0,0.0,0,21,3,0
tiktok,7094402479433712385,tiktok_6818885455527576577,7094264285508963611,0.15,0.15,,37,7,1,2,0.14285714285714285,0.05405405405405406,0,0,0,0.0,0,23,3,0
tiktok,7094294812274213633,tiktok_6694272908754551809,7094264285508963611,0.15,0.15,,25,5,2,3,0.4,0.12,0,0,0,0.0,0,16,3,0
tiktok,7094365514058793730,tiktok_6794072464504898561,7094264285508963611,0.2,0.2,,11,3,1,0,0.3333333333333333,0.0,0,0,0,0.0,0,21,3,0
tiktok,7094315331673637634,tiktok_6670293727916933122,7094264285508963611,0.2,0.2,,20,2,1,0,0.5,0.0,0,0,0,0.0,1,18,3,0
tiktok,7094266913932542722,tiktok_6789919086806615042,7094264285508963611,0.2,0.2,,15,3,1,0,0.3333333333333333,0.0,0,0,0,0.0,0,14,3,0
tiktok,7094407916304352001,tiktok_6732396735338382338,7094264285508963611,0.15,0.15,,30,5,1,0,0.2,0.0,0,0,0,0.0,0,0,4,1
tiktok,7094405029825889025,tiktok_6821137014461580290,7094264285508963611,0.1,0.1,,61,12,1,1,0.08333333333333333,0.01639344262295082,0,0,0,0.0,0,23,3,0
tiktok,7094297961433514753,tiktok_6910169862648431617,7094264285508963611,0.1,0.1,,64,10,3,0,0.3,0.0,0,0,0,0.0,0,16,3,0
tiktok,7094376798775264002,tiktok_6776092562526913537,7094264285508963611,0.1,0.1,,143,22,1,0,0.045454545454545456,0.0,0,0,0,0.045454545454545456,0,22,3,0
tiktok,7094365258105783041,tiktok_6644540061059645446,7094264285508963611,0.9,0.2,,6,1,3,0,1.0,0.0,0,0,0,0.0,0,21,3,0
tiktok,7094273021799564033,tiktok_6782471671493395457,7094264285508963611,0.15,0.15,,37,6,0,3,0.0,0.08108108108108109,0,0,0,0.0,0,15,3,0
tiktok,7094407598912865026,tiktok_6806454888193852418,7094264285508963611,0.1,0.1,,90,16,2,0,0.125,0.0,0,0,0,0.0,0,0,4,1
tiktok,7094377432564220673,tiktok_6804062904317625345,7094264285508963611,0.8,0.2,,15,2,4,0,1.0,0.0,0,0,1,0.0,0,22,3,0
tiktok,7094267987322405634,tiktok_6540912429529333772,7094264285508963611,0.15,0.15,,31,5,1,0,0.2,0.0,0,0,0,0.0,0,15,3,0
