user_id,source,is_sockpuppet,amp_prob,comment_count,video_count,videos_per_comment,avg_time_between_comments,std_time_between_comments,min_time_between_comments,emoji_score_mean,emoji_score_max,emoji_score_std,emoji_score_sum,length_score_mean,length_score_max,length_score_std,length_score_sum,repetition_score_mean,repetition_score_max,repetition_score_std,repetition_score_sum,punctuation_score_mean,punctuation_score_max,punctuation_score_std,punctuation_score_sum
tiktok_6818116039886373889,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12195121951219512,0.12195121951219512,0.0,0.12195121951219512
tiktok_6818123745912505346,tiktok,,0.15,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.15151515151515152,0.0,0.15151515151515152
tiktok_6818126698728702977,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625,0.0,0.625
tiktok_6818129851259536385,tiktok,,0.45,2,1,0.5,68.0,0.0,68.0,0.2777777777777778,0.5,0.2222222222222222,0.5555555555555556,0.0,0.0,0.0,0.0,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.07978723404255318,0.15957446808510636,0.07978723404255318,0.15957446808510636
tiktok_6818138193423385602,tiktok,,0.6,2,1,0.5,53.0,0.0,53.0,0.3695652173913043,0.5652173913043478,0.19565217391304346,0.7391304347826086,0.0,0.0,0.0,0.0,0.08695652173913043,0.08695652173913043,0.0,0.17391304347826086,0.0,0.0,0.0,0.0
tiktok_6818151044854350849,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,0.625,0.625,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiktok_6818171779535799298,tiktok,,0.15,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiktok_6818308346858488833,tiktok,,0.1,2,2,1.0,1353586.0,0.0,1353586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10555555555555556,0.1111111111111111,0.00555555555555555,0.2111111111111111,0.21243291592128802,0.23255813953488372,0.0201252236135957,0.42486583184257604
tiktok_6818329941399618562,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiktok_6818330610478990337,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
